email_time_center,label
0.12,1
0.005,0
0.0016666666666666,0
0.02,0
0.4,3
0.0,0
0.02,0
0.1,1
0.005,0
0.01,0
0.01,0
0.02,0
0.25,2
0.01,0
0.0,0
0.0016666666666666,0
0.01,0
0.02,0
0.0,0
0.005,0
0.05,0
0.02,0
0.01,0
0.07,0
0.015,0
0.6,3
0.04,0
0.2,2
0.45,3
0.02,0
0.01,0
0.0,0
0.07,0
0.02,0
0.25,2
0.0075,0
0.0033333333333333,0
0.01,0
0.6,3
0.0033333333333333,0
0.0,0
0.44,3
0.01,0
0.01,0
0.15,1
0.1,1
0.4,3
0.02,0
0.02,0
0.6,3
0.05,0
0.05,0
0.15,1
0.01,0
0.1,1
0.0,0
0.05,0
0.03,0
0.02,0
0.04,0
0.0075,0
0.07,0
0.01,0
0.5,3
0.01,0
0.01,0
0.1,1
0.2,2
0.4,3
0.2,2
0.035,0
0.01,0
0.08,0
0.01,0
0.01,0
0.0016666666666666,0
0.3,2
0.005,0
0.5,3
0.02,0
0.05,0
0.2,2
0.01,0
0.03,0
0.4,3
0.0,0
0.05,0
0.1,1
0.07,0
0.01,0
0.0025,0
0.01,0
0.3,2
0.2,2
0.01,0
0.01,0
0.01,0
0.01,0
0.08,0
0.0,0
0.0,0
0.01,0
0.04,0
0.25,2
0.04,0
0.01,0
0.12,1
0.42,3
0.02,0
0.05,0
0.1,1
0.05,0
0.1,1
0.005,0
0.04,0
0.12,1
0.02,0
0.0033333333333333,0
0.02,0
0.01,0
0.0,0
0.08,0
0.08,0
0.05,0
0.05,0
0.05,0
0.02,0
0.08,0
0.02,0
0.2,2
0.01,0
0.0003333333333333,0
0.0016666666666666,0
0.0016666666666666,0
0.0,0
0.01,0
0.07,0
0.01,0
0.1,1
0.2,2
0.08,0
0.01,0
0.02,0
0.02,0
0.02,0
0.01,0
0.9,3
0.1,1
0.02,0
0.75,3
0.05,0
0.01,0
0.01,0
0.0,0
0.0016666666666666,0
0.05,0
0.01,0
0.25,2
0.06,0
0.0166666666666666,0
0.1,1
0.08,0
0.02,0
0.01,0
0.1,1
0.0,0
0.03,0
0.02,0
0.1,1
0.2,2
0.22,2
0.2,2
0.03,0
0.0,0
0.01,0
0.2,2
0.03,0
0.03,0
0.01,0
0.0,0
0.5,3
0.1,1
0.0033333333333333,0
0.02,0
0.03,0
0.0025,0
0.5,3
0.03,0
0.05,0
0.12,1
0.15,1
0.02,0
0.0,0
0.02,0
0.12,1
0.15,1
0.0,0
0.0,0
0.0,0
0.15,1
0.15,1
0.1,1
0.03,0
0.01,0
0.08,0
0.0008333333333333,0
0.01,0
0.0016666666666666,0
0.005,0
0.03,0
0.02,0
0.02,0
0.4,3
0.03,0
0.0098333333333333,0
0.0001666666666666,0
0.12,1
0.1,1
0.12,1
0.25,2
0.24,2
0.005,0
0.32,2
0.1,1
0.02,0
0.05,0
0.01,0
0.1,1
0.21,2
0.06,0
0.03,0
0.1,1
0.06,0
0.3,2
0.1,1
0.2,2
0.08,0
0.1,1
0.005,0
0.1,1
0.3,2
0.22,2
0.03,0
0.12,1
0.07,0
0.07,0
0.3,2
0.02,0
0.025,0
0.4,3
0.3,2
0.15,1
0.0,0
0.07,0
0.125,1
0.05,0
0.1,1
0.2,2
0.02,0
0.5,3
0.1,1
0.0,0
0.28,2
0.0,0
0.0033333333333333,0
0.2,2
0.0008333333333333,0
0.03,0
0.0,0
0.0033333333333333,0
0.25,2
0.07,0
0.0116666666666666,0
0.07,0
0.02,0
0.1,1
0.56,3
0.35,2
0.1,1
0.2,2
0.02,0
0.02,0
0.1,1
0.01,0
0.1,1
0.04,0
0.01,0
0.01,0
0.0,0
0.0,0
0.01,0
0.03,0
0.02,0
0.12,1
0.2,2
0.04,0
0.0,0
0.04,0
0.0,0
0.45,3
0.4,3
0.07,0
0.02,0
0.005,0
0.14,1
0.03,0
0.12,1
0.0003333333333333,0
0.0116666666666666,0
0.0008333333333333,0
0.02,0
0.6,3
0.0033333333333333,0
0.005,0
0.2,2
0.01,0
0.07,0
0.2,2
0.025,0
0.07,0
0.01,0
0.1,1
0.3,2
0.05,0
0.0,0
0.0066666666666666,0
0.0016666666666666,0
0.2,2
0.04,0
0.1,1
0.01,0
0.02,0
0.08,0
0.01,0
0.02,0
0.06,0
0.1,1
0.0,0
0.02,0
0.01,0
0.0003333333333333,0
0.04,0
0.03,0
0.1,1
0.02,0
0.0,0
0.01,0
0.01,0
0.01,0
0.03,0
0.05,0
0.6,3
0.1,1
0.1,1
0.08,0
0.15,1
0.0,0
0.0,0
0.1,1
0.1,1
0.02,0
0.32,2
0.0033333333333333,0
0.01,0
0.05,0
0.05,0
0.1,1
0.03,0
0.005,0
0.01,0
0.0,0
0.01,0
0.1,1
0.01,0
0.0001666666666666,0
0.12,1
0.03,0
0.03,0
0.05,0
0.03,0
0.01,0
0.005,0
0.3,2
0.1,1
0.04,0
0.09,0
0.0,0
0.1,1
0.0016666666666666,0
0.08,0
0.01,0
0.01,0
0.2,2
0.07,0
0.0,0
0.01,0
0.0008333333333333,0
0.0033333333333333,0
0.0003333333333333,0
0.3,2
0.15,1
0.22,2
0.01,0
0.0,0
0.05,0
0.08,0
0.0,0
0.0,0
0.01,0
0.01,0
0.07,0
0.05,0
0.04,0
0.005,0
0.21,2
0.1,1
0.05,0
0.0,0
0.02,0
0.01,0
0.02,0
0.0,0
0.2,2
0.08,0
0.08,0
0.01,0
0.02,0
0.2025,2
0.05,0
0.01,0
0.1,1
0.0,0
0.02,0
0.06,0
0.015,0
0.06,0
0.02,0
0.01,0
0.45,3
0.05,0
0.01,0
0.22,2
0.01,0
0.02,0
0.02,0
0.0,0
0.01,0
0.04,0
0.2,2
0.2,2
0.02,0
0.0,0
0.01,0
0.03,0
0.0,0
0.2,2
0.015,0
0.7,3
0.2,2
0.03,0
0.0003333333333333,0
0.0,0
0.01,0
0.0041666666666666,0
0.01,0
0.01,0
0.04,0
0.03,0
0.005,0
0.01,0
0.0,0
0.5,3
0.0116666666666666,0
0.01,0
0.05,0
0.2,2
0.2,2
0.02,0
0.0,0
0.06,0
0.1,1
0.14,1
0.08,0
0.01,0
0.0033333333333333,0
0.015,0
0.0,0
0.3,2
0.02,0
0.05,0
0.01,0
0.0033333333333333,0
0.06,0
0.4,3
0.5,3
0.03,0
0.1,1
0.0,0
0.0066666666666666,0
0.005,0
0.15,1
0.1,1
0.01,0
0.0025,0
0.0,0
0.05,0
0.0,0
0.2,2
0.005,0
0.02,0
0.0,0
0.2,2
0.0075,0
0.15,1
0.25,2
0.08,0
0.25,2
0.05,0
0.02,0
0.01,0
0.005,0
0.04,0
0.0016666666666666,0
0.1,1
0.1,1
0.12,1
0.0,0
0.02,0
0.01,0
0.1,1
0.01,0
0.02,0
0.0,0
0.03,0
0.01,0
0.05,0
0.01,0
0.2,2
0.0116666666666666,0
0.05,0
0.2,2
0.0,0
0.3,2
0.01,0
0.0,0
0.0,0
0.3,2
0.1,1
0.07,0
0.4,3
0.01,0
0.01,0
0.4,3
0.35,2
0.02,0
0.02,0
0.0,0
0.01,0
0.0,0
0.005,0
0.005,0
0.005,0
0.01,0
0.01,0
0.03,0
0.12,1
0.005,0
0.05,0
0.3,2
0.005,0
0.03,0
0.03,0
0.3,2
0.15,1
0.1,1
0.04,0
0.04,0
0.0,0
0.01,0
0.005,0
0.01,0
0.06,0
0.15,1
0.01,0
0.05,0
0.01,0
0.02,0
0.15,1
0.04,0
0.47,3
0.4,3
0.08,0
0.005,0
0.015,0
0.12,1
0.08,0
0.2,2
0.01,0
0.02,0
0.1,1
0.15,1
0.2,2
0.15,1
0.1,1
0.05,0
0.01,0
0.01,0
0.02,0
0.02,0
0.02,0
0.15,1
0.015,0
0.085,0
0.01,0
0.17,1
0.02,0
0.02,0
0.3,2
0.0,0
0.07,0
0.1,1
0.01,0
0.0,0
0.02,0
0.08,0
0.0,0
0.02,0
0.0,0
0.01,0
0.02,0
0.005,0
0.4,3
0.0,0
0.01,0
0.0033333333333333,0
0.005,0
0.02,0
0.0,0
0.01,0
0.15,1
0.01,0
0.095,0
0.03,0
0.0016666666666666,0
0.005,0
0.05,0
0.02,0
0.01,0
0.015,0
0.0,0
0.025,0
0.07,0
0.02,0
0.04,0
0.0,0
0.2,2
0.02,0
0.01,0
0.01,0
0.0016666666666666,0
0.4,3
0.03,0
0.0025,0
0.01,0
0.01,0
0.0175,0
0.0025,0
0.0033333333333333,0
0.01,0
0.02,0
0.01,0
0.0033333333333333,0
0.04,0
0.25,2
0.05,0
0.01,0
0.4,3
0.4,3
0.02,0
0.07,0
0.14,1
0.05,0
0.1,1
0.01,0
0.02,0
0.15,1
0.01,0
0.0008333333333333,0
0.0,0
0.12,1
0.06,0
0.01,0
0.15,1
0.0,0
0.0016666666666666,0
0.01,0
0.08,0
0.14,1
0.1,1
0.015,0
0.0025,0
0.02,0
0.0001666666666666,0
0.0008333333333333,0
0.005,0
0.0,0
0.2,2
0.0,0
0.1,1
0.0016666666666666,0
0.0,0
0.25,2
0.06,0
0.02,0
0.0,0
0.2,2
0.02,0
0.0001666666666666,0
0.01,0
0.01,0
0.0,0
0.015,0
0.01,0
0.01,0
0.35,2
0.02,0
0.2,2
0.015,0
0.1,1
0.2,2
0.01,0
0.04,0
0.0075,0
0.25,2
0.03,0
0.35,2
0.0,0
0.0,0
0.7,3
0.01,0
0.01,0
0.05,0
0.48,3
0.0,0
0.01,0
0.28,2
0.06,0
0.2,2
0.01,0
0.0,0
0.0,0
0.005,0
0.2,2
0.01,0
0.25,2
0.07,0
0.4,3
0.01,0
0.01,0
0.02,0
0.07,0
0.01,0
0.03,0
0.01,0
0.03,0
0.3,2
0.015,0
0.2,2
0.15,1
0.03,0
0.2,2
0.0,0
0.2,2
0.1,1
0.005,0
0.005,0
0.2,2
0.01,0
0.06,0
0.04,0
0.0025,0
0.04,0
0.01,0
0.0,0
0.0,0
0.005,0
0.1,1
0.02,0
0.02,0
0.005,0
0.01,0
0.0033333333333333,0
0.01,0
0.0025,0
0.01,0
0.12,1
0.02,0
0.02,0
0.07,0
0.0016666666666666,0
0.05,0
0.01,0
0.0033333333333333,0
0.0025,0
0.0,0
0.04,0
0.2,2
0.3,2
0.02,0
0.005,0
0.0,0
0.01,0
0.4,3
0.16,1
0.03,0
0.0,0
0.1,1
0.15,1
0.01,0
0.01,0
0.02,0
0.0083333333333333,0
0.4,3
0.0,0
0.2,2
0.05,0
0.04,0
0.15,1
0.1,1
0.03,0
0.02,0
0.0041666666666666,0
0.03,0
0.05,0
0.05,0
0.02,0
0.1,1
0.0,0
0.08,0
0.2,2
0.02,0
0.15,1
0.02,0
0.05,0
0.0033333333333333,0
0.0003333333333333,0
0.0,0
0.01,0
0.01,0
0.01,0
0.02,0
0.03,0
0.03,0
0.1,1
0.02,0
0.08,0
0.06,0
0.05,0
0.0,0
0.008,0
0.07,0
0.5,3
0.5,3
0.25,2
0.3,2
0.03,0
0.0,0
0.02,0
0.3,2
0.25,2
0.08,0
0.01,0
0.0025,0
0.0016666666666666,0
0.03,0
0.0,0
0.0016666666666666,0
0.01,0
0.06,0
0.02,0
0.06,0
0.0,0
0.2,2
0.02,0
0.0,0
0.01,0
0.05,0
0.02,0
0.03,0
0.05,0
0.04,0
0.01,0
0.01,0
0.02,0
0.02,0
0.0,0
0.07,0
0.4,3
0.005,0
0.0016666666666666,0
0.02,0
0.15,1
0.01,0
0.12,1
0.3,2
0.07,0
0.05,0
0.1,1
0.2,2
0.15,1
0.05,0
0.0033333333333333,0
0.6,3
0.02,0
0.0,0
0.01,0
0.0016666666666666,0
0.07,0
0.005,0
0.02,0
0.01,0
0.03,0
0.02,0
0.08,0
0.04,0
0.5,3
0.0066666666666666,0
0.25,2
0.0,0
0.35,2
0.0016666666666666,0
0.45,3
0.005,0
0.01,0
0.02,0
0.01,0
0.01,0
0.0,0
0.0,0
0.07,0
0.05,0
0.0003333333333333,0
0.0,0
0.01,0
0.0,0
0.01,0
0.06,0
0.15,1
0.01,0
0.005,0
0.01,0
0.0,0
0.07,0
0.0,0
0.0,0
0.02,0
0.1,1
0.02,0
0.035,0
0.05,0
0.03,0
0.14,1
0.0,0
0.005,0
0.0,0
0.0,0
0.01,0
0.02,0
0.02,0
0.015,0
0.02,0
0.35,2
0.08,0
0.0,0
0.005,0
0.01,0
0.0,0
0.01,0
0.01,0
0.4,3
0.01,0
0.0,0
0.01,0
0.01,0
0.1,1
0.04,0
0.0,0
0.02,0
0.02,0
0.01,0
0.0,0
0.15,1
0.02,0
0.01,0
0.02,0
0.0,0
0.05,0
0.02,0
0.09,0
0.25,2
0.02,0
0.015,0
0.02,0
0.3,2
0.3,2
0.02,0
0.01,0
0.2,2
0.02,0
0.4,3
0.0,0
0.06,0
0.04,0
0.05,0
0.01,0
0.02,0
0.06,0
0.01,0
0.0,0
0.2,2
0.02,0
0.01,0
0.0,0
0.03,0
0.005,0
0.0,0
0.01,0
0.15,1
0.1,1
0.02,0
0.03,0
0.04,0
0.06,0
0.0,0
0.02,0
0.1,1
0.05,0
0.0033333333333333,0
0.2,2
0.03,0
0.25,2
0.02,0
0.01,0
0.04,0
0.035,0
0.015,0
0.01,0
0.01,0
0.3,2
0.1,1
0.04,0
0.005,0
0.1,1
0.01,0
0.01,0
0.04,0
0.0,0
0.1,1
0.0,0
0.02,0
0.4,3
0.01,0
0.05,0
0.1,1
0.01,0
0.07,0
0.01,0
0.02,0
0.01,0
0.005,0
0.0,0
0.0066666666666666,0
0.0,0
0.0075,0
0.08,0
0.0,0
0.2,2
0.025,0
0.14,1
0.0,0
0.08,0
0.02,0
0.0025,0
0.005,0
0.01,0
0.005,0
0.03,0
0.05,0
0.22,2
0.03,0
0.2,2
0.0,0
0.05,0
0.02,0
0.005,0
0.07,0
0.01,0
0.02,0
0.03,0
0.12,1
0.01,0
0.0,0
0.01,0
0.2,2
0.01,0
0.005,0
0.06,0
0.01,0
0.07,0
0.12,1
0.01,0
0.1,1
0.3,2
0.1,1
0.08,0
0.1,1
0.02,0
0.02,0
0.03,0
0.0,0
0.1,1
0.01,0
0.01,0
0.01,0
0.01,0
0.07,0
0.35,2
0.05,0
0.08,0
0.0,0
0.01,0
0.01,0
0.01,0
0.05,0
0.02,0
0.0016666666666666,0
0.02,0
0.05,0
0.01,0
0.0,0
0.01,0
0.02,0
0.0,0
0.25,2
0.01,0
0.005,0
0.005,0
0.005,0
0.0,0
0.35,2
0.1,1
0.01,0
0.02,0
0.02,0
0.01,0
0.0,0
0.05,0
0.0033333333333333,0
0.01,0
0.0,0
0.02,0
0.01,0
0.0,0
0.01,0
0.0008333333333333,0
0.01,0
0.02,0
0.02,0
0.0,0
0.04,0
0.14,1
0.04,0
0.03,0
0.08,0
0.16,1
0.01,0
0.0,0
0.05,0
0.36,2
0.04,0
0.2,2
0.005,0
0.01,0
0.01,0
0.0,0
0.0075,0
0.03,0
0.04,0
0.05,0
0.0,0
0.0,0
0.2,2
0.0,0
0.01,0
0.05,0
0.02,0
0.15,1
0.01,0
0.1,1
0.005,0
0.01,0
0.04,0
0.03,0
0.02,0
0.02,0
0.06,0
0.0,0
0.01,0
0.05,0
0.005,0
0.005,0
0.03,0
0.04,0
0.25,2
0.05,0
0.02,0
0.2,2
0.5,3
0.2,2
0.04,0
0.25,2
0.07,0
0.1,1
0.03,0
0.02,0
0.05,0
0.2,2
0.01,0
0.08,0
0.02,0
0.05,0
0.01,0
0.72,3
0.0,0
0.0,0
0.0,0
0.03,0
0.02,0
0.0,0
0.0,0
0.005,0
0.03,0
0.0,0
0.01,0
0.01,0
0.0,0
0.2,2
0.0,0
0.3,2
0.08,0
0.005,0
0.09,0
0.01,0
0.06,0
0.02,0
0.2,2
0.1,1
0.05,0
0.1,1
0.0033333333333333,0
0.07,0
0.01,0
0.15,1
0.0016666666666666,0
0.21,2
0.1,1
0.14,1
0.03,0
0.04,0
0.04,0
0.005,0
0.0,0
0.01,0
0.0001666666666666,0
0.08,0
0.07,0
0.015,0
0.1,1
0.08,0
0.005,0
0.12,1
0.02,0
0.05,0
0.005,0
0.08,0
0.005,0
0.07,0
0.1,1
0.05,0
0.02,0
0.03,0
0.01,0
0.0,0
0.0,0
0.005,0
0.07,0
0.0,0
0.01,0
0.01,0
0.005,0
0.1,1
0.0,0
0.02,0
0.1,1
0.0,0
0.2,2
0.0,0
0.05,0
0.04,0
0.01,0
0.3,2
0.0,0
0.0,0
0.21,2
0.0,0
0.03,0
0.04,0
0.04,0
0.02,0
0.005,0
0.01,0
0.4,3
0.02,0
0.03,0
0.0,0
0.2,2
0.0083333333333333,0
0.04,0
0.0016666666666666,0
0.005,0
0.07,0
0.005,0
0.02,0
0.04,0
0.06,0
0.01,0
0.3,2
0.01,0
0.03,0
0.01,0
0.1,1
0.3,2
0.01,0
0.02,0
0.0,0
0.01,0
0.04,0
0.02,0
0.05,0
0.04,0
0.5,3
0.25,2
0.6,3
0.02,0
0.01,0
0.15,1
1.0,3
0.2,2
0.0,0
0.2,2
0.005,0
0.0,0
0.1,1
0.0,0
0.0033333333333333,0
0.01,0
0.0,0
0.2,2
0.05,0
0.01,0
0.0,0
0.005,0
0.1,1
0.0,0
0.005,0
0.0016666666666666,0
0.01,0
0.21,2
0.03,0
0.0,0
0.01,0
0.25,2
0.05,0
0.02,0
0.01,0
0.03,0
0.01,0
0.005,0
0.05,0
0.01,0
0.01,0
0.0,0
0.01,0
0.48,3
0.005,0
0.3,2
0.05,0
0.2,2
0.0,0
0.02,0
0.0,0
0.0008333333333333,0
0.05,0
0.01,0
0.005,0
0.03,0
0.01,0
0.03,0
0.02,0
0.01,0
0.005,0
0.0,0
0.01,0
0.0025,0
0.1,1
0.0,0
0.2,2
0.005,0
0.005,0
0.04,0
0.04,0
0.06,0
0.01,0
0.1,1
0.015,0
0.02,0
0.2,2
0.25,2
0.01,0
0.04,0
0.02,0
0.02,0
0.005,0
0.0,0
0.1,1
0.0008333333333333,0
0.01,0
0.005,0
0.03,0
0.0008333333333333,0
0.0,0
0.0016666666666666,0
0.0025,0
0.0,0
0.0025,0
0.02,0
0.0008333333333333,0
0.0,0
0.0033333333333333,0
0.42,3
0.0,0
0.1,1
0.0003333333333333,0
0.5,3
0.2,2
0.05,0
0.01,0
0.0,0
0.07,0
0.0033333333333333,0
0.3,2
0.1,1
0.25,2
0.005,0
0.01,0
0.0,0
0.0025,0
0.12,1
0.01,0
0.02,0
0.0,0
0.06,0
0.0,0
0.0016666666666666,0
0.02,0
0.0025,0
0.05,0
0.15,1
0.15,1
0.01,0
0.0,0
0.0083333333333333,0
0.02,0
0.04,0
0.0,0
0.01,0
0.01,0
0.04,0
0.16,1
0.01,0
0.01,0
0.0,0
0.02,0
0.005,0
0.02,0
0.18,1
0.0,0
0.02,0
0.005,0
0.0075,0
0.02,0
0.2,2
0.0008333333333333,0
0.0,0
0.01,0
0.02,0
0.01,0
0.005,0
0.01,0
0.03,0
0.01,0
0.0,0
0.01,0
0.07,0
0.01,0
0.02,0
0.03,0
0.15,1
0.08,0
0.01,0
0.1,1
0.0,0
0.01,0
0.01,0
0.01,0
0.12,1
0.01,0
0.04,0
0.0016666666666666,0
0.01,0
0.07,0
0.05,0
0.3,2
0.015,0
0.01,0
0.0,0
0.1,1
0.05,0
0.0,0
0.01,0
0.02,0
0.0,0
0.05,0
0.02,0
0.0,0
0.0016666666666666,0
0.14,1
0.0,0
0.0,0
0.0,0
0.05,0
0.08,0
0.05,0
0.02,0
0.0,0
0.0,0
0.0,0
0.05,0
0.1,1
0.12,1
0.02,0
0.3,2
0.0,0
0.05,0
0.4,3
0.01,0
0.01,0
0.03,0
0.01,0
0.2,2
0.07,0
0.0,0
0.05,0
0.0016666666666666,0
0.07,0
0.03,0
0.12,1
0.0,0
0.0,0
0.15,1
0.1,1
0.01,0
0.01,0
0.02,0
0.005,0
0.05,0
0.0,0
0.01,0
0.04,0
0.0,0
0.0,0
0.0,0
0.0,0
0.08,0
0.04,0
0.0,0
0.0,0
0.0033333333333333,0
0.02,0
0.01,0
0.0,0
0.3,2
0.05,0
0.005,0
0.015,0
0.12,1
0.08,0
0.0,0
0.04,0
0.0066666666666666,0
0.0016666666666666,0
0.01,0
0.005,0
0.01,0
0.01,0
0.04,0
0.0,0
0.0,0
0.01,0
0.025,0
0.4,3
0.0,0
0.04,0
0.01,0
0.01,0
0.005,0
0.02,0
0.04,0
0.01,0
0.0,0
0.07,0
0.1,1
0.2,2
0.08,0
0.1,1
0.02,0
0.05,0
0.06,0
0.2,2
0.1,1
0.05,0
0.01,0
0.12,1
0.04,0
0.01,0
0.2,2
0.02,0
0.0,0
0.01,0
